filename	samplename	primary tumor/normal
TCGA-A7-A0CE-01.htseq	A7-A0CE-primary	primary tumor
TCGA-A7-A0CE-11.htseq	A7-A0CE-normal	matched normal
TCGA-A7-A0CH-01.htseq	A7-A0CH-primary	primary tumor
TCGA-A7-A0CH-11.htseq	A7-A0CH-normal	matched normal
TCGA-A7-A0D9-01.htseq	A7-A0D9-primary	primary tumor
TCGA-A7-A0D9-11.htseq	A7-A0D9-normal	matched normal
TCGA-A7-A0DB-01.htseq	A7-A0DB-primary	primary tumor
TCGA-A7-A0DB-11.htseq	A7-A0DB-normal	matched normal
TCGA-A7-A13E-01.htseq	A7-A13E-primary	primary tumor
TCGA-A7-A13E-11.htseq	A7-A13E-normal	matched normal
TCGA-A7-A13F-01.htseq	A7-A13F-primary	primary tumor
TCGA-A7-A13F-11.htseq	A7-A13F-normal	matched normal
TCGA-A7-A13G-01.htseq	A7-A13G-primary	primary tumor
TCGA-A7-A13G-11.htseq	A7-A13G-normal	matched normal
TCGA-AC-A23H-01.htseq	AC-A23H-primary	primary tumor
TCGA-AC-A23H-11.htseq	AC-A23H-normal	matched normal
TCGA-AC-A2FB-01.htseq	AC-A2FB-primary	primary tumor
TCGA-AC-A2FB-11.htseq	AC-A2FB-normal	matched normal
TCGA-AC-A2FF-01.htseq	AC-A2FF-primary	primary tumor
TCGA-AC-A2FF-11.htseq	AC-A2FF-normal	matched normal
TCGA-AC-A2FM-01.htseq	AC-A2FM-primary	primary tumor
TCGA-AC-A2FM-11.htseq	AC-A2FM-normal	matched normal
TCGA-BH-A0AU-01.htseq	BH-A0AU-primary	primary tumor
TCGA-BH-A0AU-11.htseq	BH-A0AU-normal	matched normal
TCGA-BH-A0AY-01.htseq	BH-A0AY-primary	primary tumor
TCGA-BH-A0AY-11.htseq	BH-A0AY-normal	matched normal
TCGA-BH-A0AZ-01.htseq	BH-A0AZ-primary	primary tumor
TCGA-BH-A0AZ-11.htseq	BH-A0AZ-normal	matched normal
TCGA-BH-A0B3-01.htseq	BH-A0B3-primary	primary tumor
TCGA-BH-A0B3-11.htseq	BH-A0B3-normal	matched normal
TCGA-BH-A0B5-01.htseq	BH-A0B5-primary	primary tumor
TCGA-BH-A0B5-11.htseq	BH-A0B5-normal	matched normal
TCGA-BH-A0B7-01.htseq	BH-A0B7-primary	primary tumor
TCGA-BH-A0B7-11.htseq	BH-A0B7-normal	matched normal
TCGA-BH-A0B8-01.htseq	BH-A0B8-primary	primary tumor
TCGA-BH-A0B8-11.htseq	BH-A0B8-normal	matched normal
TCGA-BH-A0BA-01.htseq	BH-A0BA-primary	primary tumor
TCGA-BH-A0BA-11.htseq	BH-A0BA-normal	matched normal
TCGA-BH-A0BC-01.htseq	BH-A0BC-primary	primary tumor
TCGA-BH-A0BC-11.htseq	BH-A0Bc-normal	matched normal
